id,name,weight
1084,chumly2bart,1
1085,ODKirby,1
1086,GenoSciacca,1
1087,Purkins104,2
1088,BusterUSMC,1
1089,geoczar4,1
1090,Orgleader,1
1091,shakesheave,1
1092,GotEnergy1208,1
1093,_macmike,3
1094,Juicerden,1
1095,Beachbum8755,2
1096,Yinzer_Yapper,1
1097,chuckc247,1
1098,murphtoday,1
1099,jberda1,1
1100,sunilrohira,1
1101,TFF95050,1
1102,honeycreekfarms,1
1103,MoronPres,2
1104,15_Athens,1
1105,LucMatte9,1
1106,uncle_sam_news,1
1107,SeacliffHouse,1
1108,Ashley35349304,1
1109,jimmattor,1
1110,laspring,1
1111,lois_rogers,1
1112,9jmfleming,1
1113,lakecitygirl,1
1114,wheelercynthia,1
1115,puebloPOWMIA,1
1116,ProTrumper1,5
1117,PK2929,1
1118,tatka150,1
1119,rockynickydog,3
1120,aShantyIrish,1
1121,tomah57,1
1122,wjek77,1
1123,jacey_yorke,1
1124,valdez1776,1
1125,BRBDL,1
1126,SillyLunchLady,1
1127,TracySwavely,1
1128,hooleydag,2
1129,dwood971,1
1130,PhotoshopTruth,1
1131,warrenga61,1
1132,JoeInNoviMi,1
1133,tsmith3720,1
1134,redarcher171,1
1135,quietlion33,1
1136,shrstraker,1
1137,newnorcalgal,1
1138,Christi94877565,1
1139,AgnewRaymond,1
1140,AnAwakeAmerican,1
1141,JudithM19729908,1
1142,branch77,1
1143,dwightyoakamfan,1
1144,Only1Tabatha,1
1145,KHNEAL,1
1146,CamarilloRWF,1
1147,calitom3,1
1148,Falcon_M1,1
1149,PeggyZ824,1
1150,GreenDiplomacy,1
1151,pistartech,1
1152,maincare,1
1153,Jonijam,1
1154,keith_kilby,2
1155,Cheyn_Stocks,1
1156,YesItsPolitical,2
1157,Randall960,1
1158,DrEstella,1
1159,BeauDonThorman,1
1160,Kintu3,1
1161,pmckasy,1
1162,DocRock1007,1
1163,_Our_Freedom_,1
1164,SPNicodemus,1
1165,RouleReport,1
1166,navstadt,1
1167,summervilleguy,10
1168,BackUpIsHere,1
1169,Mimi_Florida,1
1170,VETERAN486,1
1171,ejason11,1
1172,1996Oakhill,1
1173,gr8BS,1
1174,Stakingbackusa,1
1175,henrymullersr,1
1176,tushhog56,1
1177,kblast523,2
1178,FreedomFriesOrg,1
1179,seafruit57,1
1180,warren9992,1
1181,l56291508,1
1182,thruthehill,1
1183,AmerIntelReport,1
1184,cathlifetime,1
1185,jjauthor,1
1186,kdlmama,1
1187,TitoTFA,1
1188,WashNewsLine,1
1189,BARBRATOCCO,1
1190,ConservVoice,2
1191,antdogj,3
1192,Lisa79319952,1
1193,ChristineFreda1,1
1194,Alexbobby2262C,1
1195,PeggyRuppe,1
1196,MaryMister7,1
1197,spoutsmith,1
1198,NipoSen,1
1199,FrankenHarpo,1
1200,pkthornton1,1
1201,Eugene357,1
1202,RobinLi19793914,1
1203,TaniaGroth,1
